#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Ë®
lava                                              (minecraft:lava)                                                                 = ÈÛÑÒ
aetherworks.impure_aetherium_gas                  (aetherworks:impure_aetherium_gas)                                               = º¬ÔÓÌì»ª
aetherworks.aetherium_gas                         (aetherworks:aetherium_gas)                                                      = Ìì»ª
iron                                              (tconstruct:molten_iron)                                                         = ÈÛÈÚÌú
gold                                              (tconstruct:molten_gold)                                                         = ÈÛÈÚ½ğ
pigiron                                           (tconstruct:molten_pigiron)                                                      = ÈÛÈÚÉúÌú
cobalt                                            (tconstruct:molten_cobalt)                                                       = ÈÛÈÚîÜ
ardite                                            (tconstruct:molten_ardite)                                                       = ÈÛÈÚ°¢µÏÌØ
manyullyn                                         (tconstruct:molten_manyullyn)                                                    = ÈÛÈÚÂêÓñÁé
knightslime                                       (tconstruct:molten_knightslime)                                                  = ÈÛÈÚÆïÊ¿Ê·À³Ä·
alubrass                                          (tconstruct:molten_alubrass)                                                     = ÈÛÈÚÂÁ»ÆÍ­
brass                                             (tconstruct:molten_brass)                                                        = ÈÛÈÚ»ÆÍ­
copper                                            (tconstruct:molten_copper)                                                       = ÈÛÈÚÍ­
tin                                               (tconstruct:molten_tin)                                                          = ÈÛÈÚÎı
bronze                                            (tconstruct:molten_bronze)                                                       = ÈÛÈÚÇàÍ­
zinc                                              (tconstruct:molten_zinc)                                                         = ÈÛÈÚĞ¿
lead                                              (tconstruct:molten_lead)                                                         = ÈÛÈÚÇ¦
nickel                                            (tconstruct:molten_nickel)                                                       = ÈÛÈÚÄø
silver                                            (tconstruct:molten_silver)                                                       = ÈÛÈÚÒø
electrum                                          (tconstruct:molten_electrum)                                                     = ÈÛÈÚçúçê½ğ
steel                                             (tconstruct:molten_steel)                                                        = ÈÛÈÚ¸Ö
aluminum                                          (tconstruct:molten_aluminum)                                                     = ÈÛÈÚÂÁ
liquidhydrogen                                    ([no block])                                                                     = ÒºÌ¬Çâ
liquidoxygen                                      ([no block])                                                                     = ÒºÌ¬Ñõ
liquidchlorine                                    ([no block])                                                                     = ÒºÌ¬ÂÈ
liquidsulfurdioxide                               ([no block])                                                                     = ÒºÌ¬¶şÑõ»¯Áò
liquidsulfurtrioxide                              ([no block])                                                                     = ÒºÌ¬ÈıÑõ»¯Áò
sulfuricacid                                      ([no block])                                                                     = ÁòËá
liquidhydrogenchloride                            ([no block])                                                                     = ÒºÌ¬ÂÈ»¯Çâ
liquidethene                                      ([no block])                                                                     = ÒºÌ¬ÒÒÏ©
liquidsodium                                      ([no block])                                                                     = ÒºÌ¬ÄÆ
brine                                             ([no block])                                                                     = ÑÎË®
liquiddeuterium                                   ([no block])                                                                     = ÒºÌ¬ë®
liquidtritium                                     ([no block])                                                                     = ÒºÌ¬ë°
liquidfusionfuel                                  ([no block])                                                                     = ÒºÌ¬ë®ë°È¼ÁÏ
liquidlithium                                     ([no block])                                                                     = ÒºÌ¬ï®
heavywater                                        ([no block])                                                                     = ÖØË®
steam                                             ([no block])                                                                     = ÕôÆû
fluid_mana                                        (hdsutils:fluid_mana)                                                            = ÒºÌ¬Ä§Á¦
mercury                                           (hdsutils:mercury)                                                               = ¹¯
oil_soul                                          ([no block])                                                                     = Áé»êÔ­ÓÍ
oil_dwarf                                         ([no block])                                                                     = °«ÈËÈ¼ÓÍ
gas_dwarf                                         ([no block])                                                                     = °«ÈËÈ¼Æø
dawnstone                                         (embers:dawnstone)                                                               = ÈÛÈÚÀèÃ÷Ê¯
alchemical_redstone                               (embers:alchemical_redstone)                                                     = Á¶½ğºìÊ¯½¬Òº
canolaoil                                         (actuallyadditions:block_canola_oil)                                             = ²Ë×ÑÓÍ
refinedcanolaoil                                  (actuallyadditions:block_refined_canola_oil)                                     = ¾«ÖÆ²Ë×ÑÓÍ
crystaloil                                        (actuallyadditions:block_crystal_oil)                                            = ¾§»¯ÓÍ
empoweredoil                                      (actuallyadditions:block_empowered_oil)                                          = ³äÄÜÓÍ
creosote                                          ([no block])                                                                     = ÔÓ·ÓÓÍ
coal                                              ([no block])                                                                     = ÒºÌ¬ÃºÌ¿
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Ê¯ÓÍ
refined_oil                                       ([no block])                                                                     = Ê¯ÄÔÓÍ
refined_fuel                                      ([no block])                                                                     = ¾«Á¶ÓÍ
sap                                               ([no block])                                                                     = Ê÷Ö­
syrup                                             ([no block])                                                                     = ÌÇ½¬
resin                                             ([no block])                                                                     = Ê÷Ö¬
tree_oil                                          ([no block])                                                                     = Ê÷ÓÍ
seed_oil                                          ([no block])                                                                     = ÖÖ×ÓÓÍ
biocrude                                          ([no block])                                                                     = ÉúÎïÖÊÔ­ÓÍ
refined_biofuel                                   ([no block])                                                                     = Ş½Ïã¼î
mushroom_stew                                     ([no block])                                                                     = Ä¢¹½ìÒ
experience                                        ([no block])                                                                     = ÖªÊ¶¾«»ª
potion                                            ([no block])                                                                     = Ò©Ë®
potion_splash                                     ([no block])                                                                     = Åç½¦Ò©Ë®
potion_lingering                                  ([no block])                                                                     = ÖÍÁôÒ©Ë®
redstone                                          (thermalfoundation:fluid_redstone)                                               = ²»ÎÈ¶¨ºìÊ¯
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = ³äÄÜÒºÌ¬Ó«Ê¯
ender                                             (thermalfoundation:fluid_ender)                                                  = Ğ³ÕñÄ©Ó°ÕäÖé
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = ÁÒÑæÖ®³ãìÍ
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = ¼«º®Ö®Áİ±ù
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = ·ÉÑïÖ®Çå·ç
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = °å¿éÖ®²ãÑÒ
mana                                              (thermalfoundation:fluid_mana)                                                   = ÔªÊ¼Ä§Á¦
platinum                                          ([no block])                                                                     = ÈÛÈÚ²¬
iridium                                           ([no block])                                                                     = ÈÛÈÚÒ¿
invar                                             ([no block])                                                                     = ÈÛÈÚÒó¸Ö
constantan                                        ([no block])                                                                     = ÈÛÈÚ¿µÍ­
signalum                                          ([no block])                                                                     = ÈÛÈÚĞÅËØ
lumium                                            ([no block])                                                                     = ÈÛÈÚÁ÷Ã÷
enderium                                          ([no block])                                                                     = ÈÛÈÚÄ©Ó°
electrical_steel                                  (enderio:block_fluid_electrical_steel)                                           = ÈÛÈÚ´Å¸Ö
energetic_alloy                                   (enderio:block_fluid_energetic_alloy)                                            = ÈÛÈÚ³äÄÜºÏ½ğ
vibrant_alloy                                     (enderio:block_fluid_vibrant_alloy)                                              = ÈÛÈÚÂö³åºÏ½ğ
redstone_alloy                                    (enderio:block_fluid_redstone_alloy)                                             = ÈÛÈÚºìÊ¯ºÏ½ğ
conductive_iron                                   (enderio:block_fluid_conductive_iron)                                            = ÈÛÈÚµ¼µçÌú
pulsating_iron                                    (enderio:block_fluid_pulsating_iron)                                             = ÈÛÈÚ³äÄÜÌú
dark_steel                                        (enderio:block_fluid_dark_steel)                                                 = ÈÛÈÚĞş¸Ö
soularium                                         (enderio:block_fluid_soularium)                                                  = ÈÛÈÚ»ê½ğ
end_steel                                         (enderio:block_fluid_end_steel)                                                  = ÈÛÈÚÄ©Ó°¸Ö
construction_alloy                                (enderio:block_fluid_construction_alloy)                                         = ÈÛÈÚÌúºÏ½ğ
sand                                              (biomesoplenty:sand)                                                             = Á÷É³
honey                                             (biomesoplenty:honey)                                                            = ·äÃÛ
blood                                             (biomesoplenty:blood)                                                            = Ñª
poison                                            (biomesoplenty:poison)                                                           = ¶¾Òº
hot_spring_water                                  (biomesoplenty:hot_spring_water)                                                 = ÎÂÈªË®
molten_blood_infused_iron                         (bloodarsenal:bloodarsenal.molten_blood_infused_iron)                            = ÈÛÈÚ×¢ÑªÌú
bloodbronze                                       ([no block])                                                                     = Molten Blood Bronze
yellow_t2                                         (contenttweaker:yellow_t2)                                                       = Ïà±äÁÙ½ç»ÆÉ«Á÷Ìå
yellow_t1                                         (contenttweaker:yellow_t1)                                                       = »ÆÉ«Á÷Ìå
red_t2                                            (contenttweaker:red_t2)                                                          = Ïà±äÁÙ½çºìÉ«Á÷Ìå
blue_t1                                           (contenttweaker:blue_t1)                                                         = À¶É«Á÷Ìå
red_t1                                            (contenttweaker:red_t1)                                                          = ºìÉ«Á÷Ìå
blue_t2                                           (contenttweaker:blue_t2)                                                         = Ïà±äÁÙ½çÀ¶É«Á÷Ìå
limewater                                         (contenttweaker:limewater)                                                       = Ê¯»ÒË®
distilledwater                                    (contenttweaker:distilledwater)                                                  = ÕôÁóË®
molten_gel                                        (contenttweaker:molten_gel)                                                      = ÈÛÈÚÄı½ºÖÊ
rhombus_plastic                                   (contenttweaker:rhombus_plastic)                                                 = ËÜÁÏ»ìºÏÈÛÈÚÁâĞÎ
spherical_plastic                                 (contenttweaker:spherical_plastic)                                               = ËÜÁÏ»ìºÏÈÛÈÚÇòĞÎ
square_plastic                                    (contenttweaker:square_plastic)                                                  = ËÜÁÏ»ìºÏÈÛÈÚ·½ĞÎ
lively_water                                      (contenttweaker:lively_water)                                                    = »îË®
molten_raw_iron                                   (contenttweaker:molten_raw_iron)                                                 = ÈÛÈÚ´ÖÌú
molten_river_nickel                               (contenttweaker:molten_river_nickel)                                             = ÈÛÈÚºÓÄø
molten_river_iron                                 (contenttweaker:molten_river_iron)                                               = ÈÛÈÚºÓÌú
molten_river_copper                               (contenttweaker:molten_river_copper)                                             = ÈÛÈÚºÓÍ­
unstable_aura                                     (contenttweaker:unstable_aura)                                                   = ²»ÎÈ¶¨ÁéÆø
unstable_mutation_agent                           (contenttweaker:unstable_mutation_agent)                                         = ²»ÎÈ¶¨µÄÒì±ä¼Á
taint_nutrition                                   (contenttweaker:taint_nutrition)                                                 = ¸¯»¯ÓªÑøÖÊ
golem_perfusate                                   (contenttweaker:golem_perfusate)                                                 = fluid.golem_perfusate
red                                               (contenttweaker:red_molten)                                                      = ÈÛÈÚºìÉ«
blue                                              (contenttweaker:blue_molten)                                                     = ÈÛÈÚÀ¶É«
yellow                                            (contenttweaker:yellow_molten)                                                   = ÈÛÈÚ»ÆÉ«
lithium                                           (contenttweaker:lithium_molten)                                                  = ÈÛÈÚï®
osmium                                            (contenttweaker:osmium_molten)                                                   = ÈÛÈÚï°
sodium                                            (contenttweaker:sodium_molten)                                                   = ÈÛÈÚÄÆ
tungsten                                          (contenttweaker:tungsten_molten)                                                 = ÈÛÈÚÎÙ
chromium                                          (contenttweaker:chromium_molten)                                                 = ÈÛÈÚ¸õ
titanium                                          (contenttweaker:titanium_molten)                                                 = ÈÛÈÚîÑ
lapis                                             (contenttweaker:lapis_molten)                                                    = ÈÛÈÚÇà½ğÊ¯
silicon                                           (contenttweaker:silicon_molten)                                                  = ÈÛÈÚ¹è
potassium                                         (contenttweaker:potassium_molten)                                                = ÈÛÈÚ¼Ø
radioactive_residue                               (contenttweaker:radioactive_residue_molten)                                      = ÈÛÈÚ·ÅÉäĞÔ»ìÔü
diamond                                           (contenttweaker:diamond_molten)                                                  = ÈÛÈÚ×êÊ¯
glimmerite                                        (contenttweaker:glimmerite_molten)                                               = ÈÛÈÚÎ¢¹â
carbondioxide                                     (emergingtechnology:carbondioxideblock)                                          = ¶şÑõ»¯Ì¼
nutrient                                          (emergingtechnology:nutrientblock)                                               = ÓªÑøÒº
h2so4                                             ([no block])                                                                     = ÁòËá
propane                                           ([no block])                                                                     = ±ûÍé
sulphur                                           ([no block])                                                                     = ÒºÌ¬Áò»Ç
energite                                          ([no block])                                                                     = EnergiteÒºÌå
ftglowstone                                       ([no block])                                                                     = ÒºÌ¬Ó«Ê¯
sunnarium                                         ([no block])                                                                     = ÈÛÈÚÑô¹â»¯ºÏÎï
sky_stone                                         ([no block])                                                                     = ÈÛÈÚÔÉÊ¯
fluix_steel                                       ([no block])                                                                     = ÈÛÈÚ¸£Â³ÒÁ¿ËË¹¸Ö
starmetal                                         ([no block])                                                                     = ÈÛÈÚĞÇ»Ô
crystal_matrix                                    ([no block])                                                                     = ²»¶¨ĞÍË®¾§¾ØÕó
neutronium                                        ([no block])                                                                     = ³¬ÃÜÖĞ×ÓÁ÷Ìå
infinity_metal                                    ([no block])                                                                     = ÎŞ¾¡Ó¿Á÷
bound_metal                                       ([no block])                                                                     = ÈÛÈÚÊø¸¿½ğÊô
sentient_metal                                    ([no block])                                                                     = ¸ĞÖªÁ÷ÖÊ
livingrock                                        ([no block])                                                                     = ÈÛÈÚ»îÊ¯
manasteel                                         ([no block])                                                                     = ÈÛÈÚÄ§Á¦¸Ö
terrasteel                                        ([no block])                                                                     = ÈÛÈÚÌ©À­¸Ö
elementium                                        ([no block])                                                                     = ÈÛÈÚÔ´ÖÊ¸Ö
draconium                                         ([no block])                                                                     = ÈÛÈÚÁúËØ
wyvern_metal                                      ([no block])                                                                     = ·ÉÁú¾ÛºÏÎï
draconic_metal                                    ([no block])                                                                     = ÉñÁú¾ÛºÏÎï
chaotic_metal                                     ([no block])                                                                     = »ìãç½â¹¹ÖÊ
mica                                              ([no block])                                                                     = ÈÛÈÚÔÆÄ¸
essence_metal                                     ([no block])                                                                     = ÈÛÈÚÔÌÄ§Ô´ÖÊ
pink_metal                                        ([no block])                                                                     = ÈÛÈÚ·ÛÉ«½ğÊô
energetic_metal                                   ([no block])                                                                     = ÈÛÈÚÄÜÁ¿½ğÊô
universal_metal                                   ([no block])                                                                     = ¹²¾§UUºÏ½ğ
refined_obsidian                                  ([no block])                                                                     = ÈÛÈÚÇ¿»¯ºÚê×Ê¯
refined_glowstone                                 ([no block])                                                                     = ÈÛÈÚÇ¿»¯Ó«Ê¯
dark_matter                                       ([no block])                                                                     = °µÁ÷ÖÊ
red_matter                                        ([no block])                                                                     = ºìÁ÷ÖÊ
fluxed_electrum                                   ([no block])                                                                     = ÈÛÈÚºìÊ¯çúçê½ğ
